#,Title,Authors,Barcode,Call No,ISBN,Status,Patron Status,Hold Status
1,"£êm chong ³èn : truyòên dài","Háô, Tr¼á»ng An",806881,F HOT VIETNAMESE,8781554482924,In,0,No Hold
2,"The 10 best animal disguises","Lindsey, Cameron",33124054033013,591.472 LIN,9781554482924,In,0,No Hold
3,"The 10 best love poems","Hanson, Sharon",33124054032163,820.81 HAN,9781554483433,In,0,No Hold
4,"The 10 best plays","Nyman, Debbie",33124054032262,808.82 NYM,9781554483037,In,0,No Hold
5,"The 10 best underdog stories in sports","Shalton, Michelle",33124054031819,796 SHA,9781554482955,In,0,No Hold
6,"The 10 boldest explorers","Gibson-Hardie, Stephanie Kim",33124054033534,910.92 GIB,9781554482573,In,0,No Hold
7,"The 10 coolest dance crazes","Swartz, Larry",33124054033070,793.3 SWA,9781554483235,In,0,No Hold
8,"The 10 deadliest plants","Littlefield, Angie",33124054032221,581.65 LIT,9781554483112,In,0,No Hold
9,"The 10 deadliest sea creatures","Booth, Jack",33124054033427,591.77 BOO,9781554482825,In,0,No Hold
10,"The 10 deadliest snakes","Jenkins, Jennifer Meghan",33124054033575,597.96 JEN,9781554482726,In,0,No Hold
11,"10 fat turkeys","Johnston, Tony",33124092305530,E JOH,9780439459488,In,0,No Hold
12,"The 10 greatest breakthroughs in space exploration","Clark, Julie",33124054033260,629.41 CLA,9781554483204,In,0,No Hold
13,"The 10 greatest Canadian icons in the arts","Miller, Heather",33124054033237,709.2 MIL,9781554483181,In,0,No Hold
14,"The 10 greatest Canadian innovations of the 20th century","Cutting, Robert",33124054033187,609.71 CUT,9781554482689,In,0,No Hold
15,"The 10 greatest hockey teams of all time","Downey, Glen",33124054040455,796.96264 DOW,9781554483457,In,0,No Hold
16,"The 10 greatest hoop heroes","Hurley, Trish",33124054031918,796.323 HUR,9781554482658,In,0,No Hold
17,"The 10 greatest movies from books","Drake, Carol",33124054031827,791.436 DRA,9781554482634,In,0,No Hold
18,"The 10 greatest sports dynasties","Katz, Ben",33124054032114,796 KAT,9781554483259,In,0,No Hold
19,"The 10 greatest sports showdowns","Downey, Glen",33124054031868,796 DOW,9781554483358,In,0,No Hold
20,"The 10 greatest threats to earth","Reaume, Christopher J",33124054031884,904 REA,9781554483013,In,0,No Hold
21,"The 10 grossest bugs","Littlefield, Angie",33124054033112,595.7 LIT,9781554482627,In,0,No Hold
22,"The 10 mightiest conquerors","Koh, Frederick",33124054033435,909 KOH,9781554483174,In,0,No Hold
23,"The 10 mightiest mountains","Samuel, Nigel",33124054040307,910.02143 SAM,9781554483099,In,0,No Hold
24,"The 10 mightiest rivers","Junyk, Myra",33124059827138,910.91693 JUN,9781554483198,In,0,No Hold
25,"The 10 most amazing animated movies","Quan-D'Eramo, Sandra",33124054032023,791.43 QUA,9781554483136,In,0,No Hold
26,"The 10 most amazing bridges","Harper, Suzanne",33124054033518,725.98 HAR,9781554482603,In,0,No Hold
27,"The 10 most amazing skyscrapers","Scremin, Lauren",33124054033468,720.483 SCR,9781554482801,In,0,No Hold
28,"The 10 most bizarre animal behaviours","Laman, Judi-Lynn",33124054033161,591.5 LAM,9781554483426,In,0,No Hold
29,"The 10 most challenging world war experiences","Dick, Karen",33124054033096,940.5 DIC,9781554482986,In,0,No Hold
30,"The 10 most compelling news images","Koh, Frederick",33124054031876,070.49 KOH,9781554483334,In,0,No Hold
31,"The 10 most dangerous places on earth","Lindsey, Cameron",33124054034169,913.002 LIN,9781554483396,In,0,No Hold
32,"The 10 most daring escapes","Derby, Katy",33124054033385,904 DER,9781554482870,In,0,No Hold
33,"The 10 most destructive ecosystem invaders","Cheung, Lisa",33124054034011,577.82 CHE,9781554482894,In,0,No Hold
34,"The 10 most disastrous accidents","Koh, Frederick",33124054040356,904 KOH,9781554482795,In,0,No Hold
35,"The 10 most essential chemical messengers","Clark, Julie",33124054032379,612.4 CLA,9781554483419,In,0,No Hold
36,"The 10 most extraordinary cities","Koh, Frederick",33124059827088,307.76 KOH,9781554482993,In,0,No Hold
37,"The 10 most extraordinary medical conditions","Winter, Barbara",33124054032171,614.42 WIN,9781554482818,In,0,No Hold
38,"The 10 most extreme fighting styles","Lim, A. Noel",33124054032015,796.8 LIM,9781554482856,In,0,No Hold
39,"The 10 most extreme sports","Mitchell-Hughes, Kimberley",33124054040406,796.046 MIT,9781554483556,In,0,No Hold
40,"The 10 most fascinating phenomena","Buskermolen, Sunniva",33124054032122,031.02 BUS,9781554482719,In,0,No Hold
41,"The 10 most gripping 20th century war stories","Booth, Jack",33124054033484,940.5 BOO,9781554482979,In,0,No Hold
42,"The 10 most incredible landforms","Lambert, Mark John",33124059827039,551 LAM,9781554483297,In,0,No Hold
43,"The 10 most influential hip-hop artists","Cameron, Andrea",33124054034094,781.649 CAM,9781554483044,In,0,No Hold
44,"The 10 most influential speeches in world history","Suchanek, David",33124054033583,909.82 SUC,9781554483372,In,0,No Hold
45,"The 10 most inspiring Canadians","Whitfield, Kathryn L",33124054033047,971.092 WHI,9781554482580,In,0,No Hold
46,"The 10 most outstanding Canadian entrepreneurs","Suchanek, David",33124054033146,338.04 SUC,9781554483488,In,0,No Hold
47,"The 10 most outstanding Canadian symbols","Dick, Karen",33124054033245,929.90971 DIC,9781554483082,In,0,No Hold
48,"The 10 most outstanding female leaders","Nyman, Debbie",33124054033336,920.72 NYM,9781554483273,In,0,No Hold
49,"The 10 most phenomenal athletes","Suchanek, David",33124054031967,796.092 SUC,9781554482757,In,0,No Hold
50,"The 10 most remarkable writers","Arnold, Jayn",33124054031975,823.09 ARN,9781554483532,In,0,No Hold
51,"The 10 most revolting parasites","Clark, Lisa",33124054032270,578.65 CLA,9781554483211,In,0,No Hold
52,"The 10 most revolutionary songs","Cameron, Andrea",33124054032312,782.4 CAM,9781554482931,In,0,No Hold
53,"The 10 most shocking sports scandals","Downey, Glen",33124054032064,175 DOW,9781554483051,Lost/Missing,0,No Hold
54,"The 10 most significant conflicts on Canadian soil","Dick, Karen",33124054033039,971 DIC,9781554483280,In,0,No Hold
55,"The 10 most significant crossroads in aboriginal history","Beaver, Jan",33124054033286,970.4 BEA,9781554483389,In,0,No Hold
56,"The 10 most significant documents in history","Downey, Glen",33124054033021,909 DOW,9781554483471,In,0,No Hold
57,"The 10 most significant medical breakthroughs","Carr, Denis",33124054031983,610.28 CAR,9781554482917,In,0,No Hold
58,"The 10 most terrifying experiences","Lindsey, Cameron",33124054031835,904 LIN,9781554483518,In,0,No Hold
59,"The 10 most uncontrollable functions of the body","Da Silva, Rosa",33124054032320,611 DAS,9781554483310,In,0,No Hold
60,"The 10 most unforgettable NASCAR moments","Downey, Glen",33124054040505,796.72 DOW,9781554483150,In,0,No Hold
61,"The 10 most unforgettable shipwrecks","Griffith, Anita",33124054040257,910.452 GRI,9781554482597,In,0,No Hold
62,"The 10 most wondrous ancient sites","Drake, Carol",33124054033229,930 DRA,9781554482672,In,0,No Hold
63,"10 rivers that shaped the world","Peters, Marilee",33124099805110,551.483 PET,9781554517381,In,0,No Hold
64,"The 10 smartest adaptations in nature","Reaume, Christopher J",33124054032072,591.4 REA,9781554482610,In,0,No Hold
65,"The 10 smartest animals","Downey, Glen",33124054033377,591 DOW,9781554483129,In,0,No Hold
66,"10 ways to stay broke-- forever : why be rich when you can have this much fun?","McDonald, Laura",33124074241968,332.024 MCD,9781118586532,In,0,No Hold
67,"100 accomplished Black Canadian women, 2016","Augustine, Jean",33124104048516,305.48 AUG,9781530089383,In,0,No Hold
68,"100 best Beatles songs : a passionate fan's guide","Spignesi, Stephen J",33124098475022,782.42166 BEA SPI,9781579128425,In,0,No Hold
69,"100 Canadian heroines : famous and forgotten faces","Forster, Merna",33124034373315,920.72 FOR,1550025147,In,0,No Hold
70,"100 cupboards","Wilson, N. D",33124058114132,F WIL,9780605177970,In,0,No Hold
71,"100 events that shook our world : a history in pictures of the last 100 years","Author, Unknown",33124040856964,909 ONE,1932994106,In,0,No Hold
72,"100 great artists : a visual journey from Fra Angelico to Andy Warhol","Gerlings, Charlotte",33124092796217,759 GER,1841934720,In,0,No Hold
73,"100 landmarks of the world : a journey to the most fascinating landmarks around the globe","Jollands, Beverley",33124096017511,910.22 JOL,9781445437781,In,0,No Hold
74,"100 men who shaped world history","Yenne, Bill",1115764,920 .71 YEN,0912517050,In,0,No Hold
75,"100 most dangerous things on the planet","Claybourne, Anna",33124070119887,031.92 CLA,545069270,In,0,No Hold
76,"100 most important science ideas : key concepts in genetics, physics and mathematics","Henderson, Mark",33124054039473,500 HEN,9781554079483,In,0,No Hold
77,"100 people who changed the world","Author, Unknown",33124082002147,920.02 ONE,9781603201223,In,0,No Hold
78,"100 philosophers : a guide to the world's greatest thinkers","King, Peter J",33124092796373,109.2 KIN,785830227,In,0,No Hold
79,"100% pure fake","Thomas, Lyn",33124054038657,793.8 THO,9781554532902,In,0,No Hold
80,"100 sideways miles","Smith, Andrew Anselmo",33124102003091,F SMI,9781442444959,In,0,No Hold
81,"100 women who shaped world history","Rolka, Gail Meyer",1115769,920 .72 ROL,0912517069,In,0,No Hold
82,"The 100-year-old man who climbed out the window and disappeared","Jonasson, Jonas",33124085417748,F JON,9781401324643,In,0,No Hold
83,"The 100-year-old secret","Barrett, Tracy",33124058451518,F BAR,9780312602123,In,0,No Hold
84,"1000's of amazing uses for everyday products","Elliot, Betsy Rossen",33124085417284,640 ELL,1605533408,In,0,No Hold
85,"1001 facts that will scare the s#*t out of you : the ultimate bathroom reader","McNeal, Cary",33124107544040,031.02 MCN,9781605506241,In,0,No Hold
86,"101 great fighters","Author, Unknown",33124070119127,623.7464 ONE,9781435835979,In,0,No Hold
87,"101 things Canadians should know about Canada","Author, Unknown",33124058118927,971 ONE,9781552639955,In,0,No Hold
88,"101 things you didn't know about Jane Austen : the truth about the world's most intriguing romantic heroine","Hannon, Patrice",33124043351237,823 AUS HAN,9781598692846,In,0,No Hold
89,"12 bytes : how we got here, where we might go next","Winterson, Jeanette",33124097615073,303.48 WIN,9780802159250,In,0,No Hold
90,"12 great tips on writing a speech","Shipp, Catherine Elisabeth",33124106114225,808.5 SHI,9781632352774,In,0,No Hold
91,"121 express","Polak, Monique",33124058455337,F POL,9780605188938,In,0,No Hold
92,"13 paintings children should know","Wenzel, Angela",33124058453753,709 WEN,9783791343235,In,0,No Hold
93,"13 ways of looking at a fat girl","Awad, Mona",33124101581451,F AWA,143194798,In,0,No Hold
94,"13 women artists children should know","Schümann, Bettina",33124058453704,709 SCH,9783791343334,In,0,No Hold
95,"14 cows for America","Deedy, Carmen Agra",33124058454728,327.676 NAI DEE,9780605271029,In,0,No Hold
96,"1421 : the year China discovered the world","Menzies, Gavin",33124092797082,910.951 MEN,0553815229,In,0,No Hold
97,"145th Street : short stories","Myers, Walter Dean",33124012917547,F MYE,9780605797222,In,0,No Hold
98,"15 Canadian poets X3","Author, Unknown",33124015749996,819.1 FIF,195416430,In,0,No Hold
99,"15 love","Watson, Andi",33124082007096,F WAT,9780785113348,In,0,No Hold
100,"17th & 18th century art","Ruskin, Ariane",33124012433883,709.032 RUS,70542791,In,0,No Hold
101,"19 varieties of gazelle : poems of the Middle East","Nye, Naomi Shihab",33124038901822,811 NYE,9780605339934,In,0,No Hold
102,"1900-1919","Tames, Richard",33124096018907,909.821 TAM,1932889698,In,0,No Hold
103,"1900-20 : linen & lace","Mee, Sue",2344502,391 .009 MEE,431095485,In,0,No Hold
104,"1900s","Salomons, Elizabeth",2342807,971 .056 SAL,9781896990705,In,0,No Hold
105,"1900s","Salomons, Elizabeth",33124058118265,971.056 SAL,9781896990705,In,0,No Hold
106,"1910s","Craats, Rennay",33124058118257,971.061 CRA,9781770717114,In,0,No Hold
